titulo,inicio,fim
MLOPS I Status Update,2025-05-16T10:00:00,2025-05-16T10:30:00
MLOPS I Status Update,2025-05-09T10:00:00,2025-05-09T10:30:00
"Synced invitation: Monitoring MLOps @ Tue May 13, 2025 11:00 - 11:30 (GMT-3) (andre.junior@viavarejo.com.br)",2025-05-13T11:00:00,2025-05-13T11:30:00
Bora CB Plataforma,2025-05-08T09:30:00,2025-05-08T11:30:00
Retrospectiva,2025-05-16T15:00:00,2025-05-16T17:00:00
ML- Olimpo,2025-05-09T09:30:00,2025-05-09T10:30:00
Bora CB Plataforma,2025-05-15T09:30:00,2025-05-15T11:30:00
MLOPS I Status Update,2025-05-14T09:30:00,2025-05-14T10:00:00
Refinamento,2025-05-05T14:30:00,2025-05-05T16:00:00
Workspace MLOPS - BCG,2025-05-06T16:00:00,2025-05-06T16:30:00
Refinamento,2025-05-12T14:30:00,2025-05-12T16:00:00
Monitoramento Fraude RPA,2025-05-06T14:00:00,2025-05-06T15:00:00
Monitoring MLOps,2025-05-07T11:00:00,2025-05-07T12:00:00
MLOPS I Status Update,2025-05-14T10:00:00,2025-05-14T10:30:00
Sync - Motor de Preço,2025-05-05T09:30:00,2025-05-05T10:00:00
Dados - All Hands,2025-05-14T10:00:00,2025-05-14T11:30:00
ML- Olimpo,2025-05-16T09:30:00,2025-05-16T10:30:00
[Migração de código] Plano de aceleração,2025-05-08T15:00:00,2025-05-08T16:00:00
MLOPS I Status Update,2025-05-07T10:00:00,2025-05-07T10:30:00
Sync - Motor de Preço,2025-05-12T09:30:00,2025-05-12T10:00:00
MLOPS I Status Update,2025-05-12T10:00:00,2025-05-12T10:30:00
Alinhamento DS/MLOPS,2025-05-14T15:00:00,2025-05-14T16:00:00
Monitoramento Fraude RPA,2025-05-08T16:00:00,2025-05-08T17:00:00
[Migração de código] Plano de aceleração,2025-05-13T14:30:00,2025-05-13T15:30:00
11.30 | Report Preditivo Transbordo ,2025-05-14T11:30:00,2025-05-14T12:00:00
KVI_NonKVI_processo,2025-05-05T16:00:00,2025-05-05T16:30:00
MLOPS I Status Update,2025-05-05T10:00:00,2025-05-05T10:30:00
Monitoring MLOps,2025-05-14T11:00:00,2025-05-14T12:00:00
